words,sentences
"బదులుగా,ఒక,చిత్రం,యొక్క,ఈ,ఆత్మలేని,చిమెరా,అత్యాశగల,సమ్మేళనం,నుండి,మహిమాన్వితమైన,టెక్,డెమో,కంటే,కొంచెం,ఎక్కువ,వస్తుంది",బదులుగా ఒక చిత్రం యొక్క ఈ ఆత్మలేని చిమెరా అత్యాశగల సమ్మేళనం నుండి మహిమాన్వితమైన టెక్ డెమో కంటే కొంచెం ఎక్కువ వస్తుంది
"హన్స్,జిమ్మర్స్,స్కోరు,జోనాథన్,బ్రోక్స్టన్‌తో,విమర్శకులచే,ప్రత్యేక,ప్రశంసలు,అందుకుంది,,నేను,లయన్,కింగ్‌ను,హన్స్,జిమ్మర్స్,గొప్ప,కెరీర్,విజయాలలో,ఒకరిగా,భావించాను,,కాని,ఇక్కడ,ఏదో,ఒకవిధంగా,అతను,ఇప్పటికే,అద్భుతమైన,ఏదో,ఒక,అద్భుతమైనదిగా,చేసాడు","హన్స్ జిమ్మర్స్ స్కోరు జోనాథన్ బ్రోక్స్టన్‌తో విమర్శకులచే ప్రత్యేక ప్రశంసలు అందుకుంది, నేను లయన్ కింగ్‌ను హన్స్ జిమ్మర్స్ గొప్ప కెరీర్ విజయాలలో ఒకరిగా భావించాను, కాని ఇక్కడ ఏదో ఒకవిధంగా అతను ఇప్పటికే అద్భుతమైన ఏదో ఒక అద్భుతమైనదిగా చేసాడు"
"మెరుగైన,ఆర్కెస్ట్రేషన్లు,మరియు,పెద్ద,వాయిద్య,సమిష్టి,అప్పటికే,శక్తివంతమైన,మరియు,బరువైన,వాటికి,ఎక్కువ,బరువు,మరియు,ఎక్కువ,శక్తిని,ఇస్తుంది",మెరుగైన ఆర్కెస్ట్రేషన్లు మరియు పెద్ద వాయిద్య సమిష్టి అప్పటికే శక్తివంతమైన మరియు బరువైన వాటికి ఎక్కువ బరువు మరియు ఎక్కువ శక్తిని ఇస్తుంది
"పునరావృతమయ్యే,నేపథ్య,ఆలోచనలు,మరియు,ఆ,ఆలోచనల,యొక్క,తెలివైన,అనువర్తనం,పరంగా,వాస్తవ,కూర్పు,అనేక,కొత్త,ఏర్పాట్ల,ద్వారా,హైలైట్,చేయబడింది,మరియు,జిమ్మెర్,భావోద్వేగ,ప్రతిధ్వని,యొక్క,నిర్దిష్ట,క్షణాలను,ఎంచుకోవడానికి,తన,పరికరాలను,ఉపయోగించే,విధానం,లోతుగా,ఆకట్టుకుంటుంది",పునరావృతమయ్యే నేపథ్య ఆలోచనలు మరియు ఆ ఆలోచనల యొక్క తెలివైన అనువర్తనం పరంగా వాస్తవ కూర్పు అనేక కొత్త ఏర్పాట్ల ద్వారా హైలైట్ చేయబడింది మరియు జిమ్మెర్ భావోద్వేగ ప్రతిధ్వని యొక్క నిర్దిష్ట క్షణాలను ఎంచుకోవడానికి తన పరికరాలను ఉపయోగించే విధానం లోతుగా ఆకట్టుకుంటుంది
"సౌండ్‌ట్రాక్,చిత్రాలలో,పనిచేసిన,ఎల్టన్,జాన్,ఈ,చిత్రాన్ని,నిరాకరించింది,మరియు,ది,లయన్,కింగ్,యొక్క,కొత్త,వెర్షన్,నాకు,చాలా,నిరాశపరిచింది,ఎందుకంటే,వారు,సంగీతాన్ని,గందరగోళానికి,గురి,చేశారని,నేను,నమ్ముతున్నాను",సౌండ్‌ట్రాక్ చిత్రాలలో పనిచేసిన ఎల్టన్ జాన్ ఈ చిత్రాన్ని నిరాకరించింది మరియు ది లయన్ కింగ్ యొక్క కొత్త వెర్షన్ నాకు చాలా నిరాశపరిచింది ఎందుకంటే వారు సంగీతాన్ని గందరగోళానికి గురి చేశారని నేను నమ్ముతున్నాను
"సంగీతం,అసలైనది,మరియు,ప్రస్తుత,చిత్రంలో,సంగీతం,అదే,ప్రభావాన్ని,చూపలేదు",సంగీతం అసలైనది మరియు ప్రస్తుత చిత్రంలో సంగీతం అదే ప్రభావాన్ని చూపలేదు
"మేజిక్,మరియు,జాయ్,పోయాయి",మేజిక్ మరియు జాయ్ పోయాయి
"ప్రశంసలు,ప్రీక్వెల్,సెప్టెంబర్,29,2020,న,డెడ్‌లైన్,హాలీవుడ్,బారీ,జెంకిన్స్,డైరెక్ట్‌కు,జతచేయబడిన,ఫాలోఅప్,చిత్రం,అభివృద్ధిలో,ఉందని,నివేదించింది","ప్రశంసలు
ప్రీక్వెల్
సెప్టెంబర్ 29 2020 న డెడ్‌లైన్ హాలీవుడ్ బారీ జెంకిన్స్ డైరెక్ట్‌కు జతచేయబడిన ఫాలోఅప్ చిత్రం అభివృద్ధిలో ఉందని నివేదించింది"
"హాలీవుడ్,రిపోర్టర్,ఈ,చిత్రం,ముఫాసా,గురించి,తన,నిర్మాణాత్మక,సంవత్సరాల్లో,ప్రీక్వెల్,అవుతుందని,చెప్పారు,,ఇది,ముఫాసాస్,మూలాలు,మరియు,గాడ్,ఫాదర్,పార్ట్,II,మాదిరిగానే,మొదటి,చిత్రం,తరువాత,జరిగిన,సంఘటనలు,రెండింటిపై,కేంద్రీకృతమై,ఉంటుందని,చెప్పారు.","హాలీవుడ్ రిపోర్టర్ ఈ చిత్రం ముఫాసా గురించి తన నిర్మాణాత్మక సంవత్సరాల్లో ప్రీక్వెల్ అవుతుందని చెప్పారు, ఇది ముఫాసాస్ మూలాలు మరియు గాడ్ ఫాదర్ పార్ట్ II మాదిరిగానే మొదటి చిత్రం తరువాత జరిగిన సంఘటనలు రెండింటిపై కేంద్రీకృతమై ఉంటుందని చెప్పారు."
"రీమేక్,కోసం,స్క్రీన్,రైటర్,జెఫ్,నాథన్సన్,ఒక,ముసాయిదాను,పూర్తి,చేసినట్లు,తెలిసింది",రీమేక్ కోసం స్క్రీన్ రైటర్ జెఫ్ నాథన్సన్ ఒక ముసాయిదాను పూర్తి చేసినట్లు తెలిసింది
"ఆగష్టు,2021,లో,ఆరోన్,పియరీ,మరియు,కెల్విన్,హారిసన్,జెఆర్,అని,తెలిసింది",ఆగష్టు 2021 లో ఆరోన్ పియరీ మరియు కెల్విన్ హారిసన్ జెఆర్ అని తెలిసింది
"ముఫాసా,మరియు,మచ్చగా,నటించారు",ముఫాసా మరియు మచ్చగా నటించారు
"ఈ,చిత్రం,లయన్,కింగ్,II,సింబాస్,గర్వం,యొక్క,రీమేక్,కాదు,1998,డైరెక్టోవిడియో,సీక్వెల్,అసలు,యానిమేటెడ్,చిత్రానికి,సీక్వెల్",ఈ చిత్రం లయన్ కింగ్ II సింబాస్ గర్వం యొక్క రీమేక్ కాదు 1998 డైరెక్టోవిడియో సీక్వెల్ అసలు యానిమేటెడ్ చిత్రానికి సీక్వెల్
"సెప్టెంబర్,2022,లో,డి,23,ఎక్స్‌పోలో,ఈ,చిత్రానికి,ముఫాసా,ది,లయన్,కింగ్,అని,పేరు,పెట్టనున్నట్లు,ప్రకటించారు,మరియు,ఇది,ఆరిజిన్,స్టోరీ,అనే,నామమాత్రపు,పాత్రలను,అనుసరిస్తుందని,ప్రకటించారు",సెప్టెంబర్ 2022 లో డి 23 ఎక్స్‌పోలో ఈ చిత్రానికి ముఫాసా ది లయన్ కింగ్ అని పేరు పెట్టనున్నట్లు ప్రకటించారు మరియు ఇది ఆరిజిన్ స్టోరీ అనే నామమాత్రపు పాత్రలను అనుసరిస్తుందని ప్రకటించారు
"సేథ్,రోజెన్,బిల్లీ,ఐచ్నర్,మరియు,జాన్,కని,వరుసగా,పుంబా,టిమోన్,మరియు,రఫీకి,పాత్రలను,తిరిగి,ప్రదర్శిస్తారు",సేథ్ రోజెన్ బిల్లీ ఐచ్నర్ మరియు జాన్ కని వరుసగా పుంబా టిమోన్ మరియు రఫీకి పాత్రలను తిరిగి ప్రదర్శిస్తారు
"ఈ,చిత్రం,డిసెంబర్,20,2024,న,విడుదల,కానుంది",ఈ చిత్రం డిసెంబర్ 20 2024 న విడుదల కానుంది
"ప్రస్తావనలు,గమనికలు,అనులేఖనాలు,బాహ్య,లింకులు,అధికారిక,వెబ్‌సైట్,IMDB,వద్ద,ది,లయన్,కింగ్,ఆల్మోవీ,వద్ద,లయన్,కింగ్,ది,లయన్,కింగ్,ఎట్,డిస్నీ,ఎ,టు,జెడ్,టైటానిక్,1997,అమెరికన్,ఎపిక్,రొమాంటిక్,డిజాస్టర్,చిత్రం,,ఇది,జేమ్స్,కామెరాన్,చేత,వ్రాతపూర్వక,కోప్రొడ్యూస్డ్,మరియు,కోయిడిడ్,దర్శకత్వం,వహించింది","ప్రస్తావనలు
గమనికలు
అనులేఖనాలు
బాహ్య లింకులు

అధికారిక వెబ్‌సైట్
IMDB వద్ద ది లయన్ కింగ్
ఆల్మోవీ వద్ద లయన్ కింగ్
ది లయన్ కింగ్ ఎట్ డిస్నీ ఎ టు జెడ్ టైటానిక్ 1997 అమెరికన్ ఎపిక్ రొమాంటిక్ డిజాస్టర్ చిత్రం, ఇది జేమ్స్ కామెరాన్ చేత వ్రాతపూర్వక కోప్రొడ్యూస్డ్ మరియు కోయిడిడ్ దర్శకత్వం వహించింది"
"చారిత్రక,మరియు,కల్పిత,అంశాలను,కలుపుకొని,ఇది,1912,లో,RMS,టైటానిక్,మునిగిపోతున్న,ఖాతాలపై,ఆధారపడి,ఉంటుంది",చారిత్రక మరియు కల్పిత అంశాలను కలుపుకొని ఇది 1912 లో RMS టైటానిక్ మునిగిపోతున్న ఖాతాలపై ఆధారపడి ఉంటుంది
"ఓడల,సమయంలో,ప్రేమలో,పడే,వివిధ,సామాజిక,తరగతుల,సభ్యులుగా,లియోనార్డో,డికాప్రియో,మరియు,కేట్,విన్స్లెట్,స్టార్,నటించారు",ఓడల సమయంలో ప్రేమలో పడే వివిధ సామాజిక తరగతుల సభ్యులుగా లియోనార్డో డికాప్రియో మరియు కేట్ విన్స్లెట్ స్టార్ నటించారు
"ఈ,చిత్రంలో,బిల్లీ,జేన్,కాథీ,బేట్స్,ఫ్రాన్సిస్,ఫిషర్,ఫిషర్,బెర్నార్డ్,హిల్,జోనాథన్,హైడ్,డానీ,నస్సీ,డేవిడ్,వార్నర్,మరియు,బిల్,పాక్స్టన్,యొక్క,సమిష్టి,తారాగణం,కూడా,ఉంది",ఈ చిత్రంలో బిల్లీ జేన్ కాథీ బేట్స్ ఫ్రాన్సిస్ ఫిషర్ ఫిషర్ బెర్నార్డ్ హిల్ జోనాథన్ హైడ్ డానీ నస్సీ డేవిడ్ వార్నర్ మరియు బిల్ పాక్స్టన్ యొక్క సమిష్టి తారాగణం కూడా ఉంది
"ఈ,చిత్రానికి,కామెరాన్స్,ప్రేరణ,ఓడల,పట్ల,ఆయనకున్న,మోహం,నుండి,వచ్చింది",ఈ చిత్రానికి కామెరాన్స్ ప్రేరణ ఓడల పట్ల ఆయనకున్న మోహం నుండి వచ్చింది
"విపత్తు,యొక్క,భావోద్వేగ,ప్రభావాన్ని,తెలియజేయడానికి,మానవ,నష్టంతో,కలిసిన,ప్రేమకథ,తప్పనిసరి,అని,అతను,భావించాడు",విపత్తు యొక్క భావోద్వేగ ప్రభావాన్ని తెలియజేయడానికి మానవ నష్టంతో కలిసిన ప్రేమకథ తప్పనిసరి అని అతను భావించాడు
"సెప్టెంబర్,1,1995,న,ఉత్పత్తి,ప్రారంభమైంది,,కామెరాన్,టైటానిక్,శిధిలాల,ఫుటేజీ","సెప్టెంబర్ 1 1995 న ఉత్పత్తి ప్రారంభమైంది, కామెరాన్ టైటానిక్ శిధిలాల ఫుటేజీ"
"పరిశోధనా,నౌకలోని,ఆధునిక,దృశ్యాలు,అకాడెమిక్,Mstislav,keldysh,లో,చిత్రీకరించబడ్డాయి,,ఇది,శిధిలాలను,చిత్రీకరించేటప్పుడు,కామెరాన్,ఒక,స్థావరంగా,ఉపయోగించింది","పరిశోధనా నౌకలోని ఆధునిక దృశ్యాలు అకాడెమిక్ Mstislav keldysh లో చిత్రీకరించబడ్డాయి, ఇది శిధిలాలను చిత్రీకరించేటప్పుడు కామెరాన్ ఒక స్థావరంగా ఉపయోగించింది"
"స్కేల్,మోడల్స్,కంప్యూటెర్జెనరేటెడ్,ఇమేజరీ,మరియు,బాజా,స్టూడియోలలో,నిర్మించిన,టైటానిక్,యొక్క,పునర్నిర్మాణం,మునిగిపోతున్నట్లు,పున,ate,సృష్టి,చేయడానికి,ఉపయోగించబడ్డాయి",స్కేల్ మోడల్స్ కంప్యూటెర్జెనరేటెడ్ ఇమేజరీ మరియు బాజా స్టూడియోలలో నిర్మించిన టైటానిక్ యొక్క పునర్నిర్మాణం మునిగిపోతున్నట్లు పున ate సృష్టి చేయడానికి ఉపయోగించబడ్డాయి
"ఈ,చిత్రం,మొదట్లో,20,వ,శతాబ్దపు,నక్కకు,ఉద్దేశించబడింది,,కాని,మౌంటు,బడ్జెట్,మరియు,షెడ్యూల్,వెనుక,ఉండటం,వల్ల,ఫాక్స్,ఫైనాన్షియల్,సహాయం,కోసం,పారామౌంట్,పిక్చర్స్,అడిగారు,పారామౌంట్,పారామౌంట్,యునైటెడ్,స్టేట్స్,మరియు,కెనడాలో,పంపిణీ,చేయగా,,20,వ,సెంచరీ,ఫాక్స్,ఈ,చిత్రాన్ని,అంతర్జాతీయంగా,విడుదల,చేసింది","ఈ చిత్రం మొదట్లో 20 వ శతాబ్దపు నక్కకు ఉద్దేశించబడింది, కాని మౌంటు బడ్జెట్ మరియు షెడ్యూల్ వెనుక ఉండటం వల్ల ఫాక్స్ ఫైనాన్షియల్ సహాయం కోసం పారామౌంట్ పిక్చర్స్ అడిగారు పారామౌంట్ పారామౌంట్ యునైటెడ్ స్టేట్స్ మరియు కెనడాలో పంపిణీ చేయగా, 20 వ సెంచరీ ఫాక్స్ ఈ చిత్రాన్ని అంతర్జాతీయంగా విడుదల చేసింది"
"టైటానిక్,200,మిలియన్ల,నిర్మాణ,బడ్జెట్‌తో,ఆ,సమయంలో,ఇప్పటివరకు,చేసిన,అత్యంత,ఖరీదైన,చిత్రం",టైటానిక్ 200 మిలియన్ల నిర్మాణ బడ్జెట్‌తో ఆ సమయంలో ఇప్పటివరకు చేసిన అత్యంత ఖరీదైన చిత్రం
"చిత్రీకరణ,జూలై,1996,నుండి,మార్చి,1997,వరకు,జరిగింది",చిత్రీకరణ జూలై 1996 నుండి మార్చి 1997 వరకు జరిగింది
"టైటానిక్,డిసెంబర్,19,1997,న,విడుదలైంది",టైటానిక్ డిసెంబర్ 19 1997 న విడుదలైంది
"విజువల్,ఎఫెక్ట్స్,ప్రదర్శనలకు,ముఖ్యంగా,డికాప్రియో,విన్స్లెట్,మరియు,గ్లోరియా,స్టువర్ట్,ప్రొడక్షన్,విలువల,దిశ,స్కోరు,సినిమాటోగ్రఫీ,కథ,మరియు,భావోద్వేగ,లోతు",విజువల్ ఎఫెక్ట్స్ ప్రదర్శనలకు ముఖ్యంగా డికాప్రియో విన్స్లెట్ మరియు గ్లోరియా స్టువర్ట్ ప్రొడక్షన్ విలువల దిశ స్కోరు సినిమాటోగ్రఫీ కథ మరియు భావోద్వేగ లోతు
"ఇతర,అవార్డులలో,ఇది,14,అకాడమీ,అవార్డులకు,ఎంపికైంది,మరియు,11,గెలిచింది,,ఉత్తమ,చిత్రం,మరియు,ఉత్తమ,దర్శకుడు,బెన్హూర్,1959,ను,ఒక,చిత్రం,గెలిచిన,అత్యధిక,అకాడమీ,అవార్డులకు,బెన్హూర్,1959,ను,సమం,చేయడం","ఇతర అవార్డులలో ఇది 14 అకాడమీ అవార్డులకు ఎంపికైంది మరియు 11 గెలిచింది, ఉత్తమ చిత్రం మరియు ఉత్తమ దర్శకుడు బెన్హూర్ 1959 ను ఒక చిత్రం గెలిచిన అత్యధిక అకాడమీ అవార్డులకు బెన్హూర్ 1959 ను సమం చేయడం"
"ప్రారంభ,ప్రపంచవ్యాప్త,స్థూలంతో,1,కంటే,ఎక్కువ",ప్రారంభ ప్రపంచవ్యాప్త స్థూలంతో 1 కంటే ఎక్కువ
"84,బిలియన్,టైటానిక్,బిలియన్,డాలర్ల,మార్కును,చేరుకున్న,మొదటి,చిత్రం",84 బిలియన్ టైటానిక్ బిలియన్ డాలర్ల మార్కును చేరుకున్న మొదటి చిత్రం
"కామెరాన్,తదుపరి,చిత్రం,అవతార్,2009,2010,లో,అధిగమించే,వరకు,ఇది,ఎప్పటికప్పుడు,అత్యధిక,వసూళ్లు,చేసిన,చిత్రం",కామెరాన్ తదుపరి చిత్రం అవతార్ 2009 2010 లో అధిగమించే వరకు ఇది ఎప్పటికప్పుడు అత్యధిక వసూళ్లు చేసిన చిత్రం
"ప్రారంభ,థియేట్రికల్,రిలీజ్,రిటైల్,వీడియో,మరియు,సౌండ్‌ట్రాక్,అమ్మకాలు,మరియు,యుఎస్,ప్రసార,హక్కుల,నుండి,వచ్చే,ఆదాయం,3,మించిపోయింది",ప్రారంభ థియేట్రికల్ రిలీజ్ రిటైల్ వీడియో మరియు సౌండ్‌ట్రాక్ అమ్మకాలు మరియు యుఎస్ ప్రసార హక్కుల నుండి వచ్చే ఆదాయం 3 మించిపోయింది
"2,బిలియన్",2 బిలియన్
"అనేక,రిలీజులు,ప్రపంచవ్యాప్త,థియేట్రికల్,మొత్తాన్ని,2,కి,నెట్టాయి",అనేక రిలీజులు ప్రపంచవ్యాప్త థియేట్రికల్ మొత్తాన్ని 2 కి నెట్టాయి
"264,బిలియన్లు,అవతార్,తరువాత,ప్రపంచవ్యాప్తంగా,2,బిలియన్లకు,పైగా,వసూలు,చేసిన,రెండవ,చిత్రంగా,నిలిచాయి",264 బిలియన్లు అవతార్ తరువాత ప్రపంచవ్యాప్తంగా 2 బిలియన్లకు పైగా వసూలు చేసిన రెండవ చిత్రంగా నిలిచాయి
"2017,లో,లైబ్రరీ,ఆఫ్,కాంగ్రెస్,దీనిని,యునైటెడ్,స్టేట్స్,నేషనల్,ఫిల్మ్,రిజిస్ట్రీలో,సాంస్కృతికంగా,చారిత్రాత్మకంగా,లేదా,సౌందర్యంగా,ముఖ్యమైనదిగా,ఎంపిక,చేసింది",2017 లో లైబ్రరీ ఆఫ్ కాంగ్రెస్ దీనిని యునైటెడ్ స్టేట్స్ నేషనల్ ఫిల్మ్ రిజిస్ట్రీలో సాంస్కృతికంగా చారిత్రాత్మకంగా లేదా సౌందర్యంగా ముఖ్యమైనదిగా ఎంపిక చేసింది
"ప్లాట్,1996,లో,రీసెర్చ్,నౌకలో,అకాడెమిక్,Mstislav,కెల్డిష్,బ్రాక్,లోవెట్,మరియు,అతని,బృందం,RMS,టైటానిక్,యొక్క,శిధిలాలను,శోధించారు","ప్లాట్
1996 లో రీసెర్చ్ నౌకలో అకాడెమిక్ Mstislav కెల్డిష్ బ్రాక్ లోవెట్ మరియు అతని బృందం RMS టైటానిక్ యొక్క శిధిలాలను శోధించారు"
"వారు,సురక్షితమైనదాన్ని,తిరిగి,పొందుతారు",వారు సురక్షితమైనదాన్ని తిరిగి పొందుతారు
"బదులుగా,వారు,హారము,ధరించిన,యువ,నగ్న,మహిళ,యొక్క,డ్రాయింగ్,మాత్రమే,కనుగొంటారు",బదులుగా వారు హారము ధరించిన యువ నగ్న మహిళ యొక్క డ్రాయింగ్ మాత్రమే కనుగొంటారు
"స్కెచ్,ఏప్రిల్,14,,1912,నాటిది,,అదే,రోజు,టైటానిక్,మంచుకొండను,తాకింది,,అది,మునిగిపోయేలా,చేసింది","స్కెచ్ ఏప్రిల్ 14, 1912 నాటిది, అదే రోజు టైటానిక్ మంచుకొండను తాకింది, అది మునిగిపోయేలా చేసింది"
"డిస్కవరీ,సెంటెనరియన్,రోజ్,డాసన్,కాల్వెర్ట్,కాంటాక్ట్స్,గురించి,టెలివిజన్,వార్తా,కథనాన్ని,చూసిన,తరువాత,లోవెట్,తనను,తాను,డ్రాయింగ్‌లో,మహిళగా,గుర్తించడం",డిస్కవరీ సెంటెనరియన్ రోజ్ డాసన్ కాల్వెర్ట్ కాంటాక్ట్స్ గురించి టెలివిజన్ వార్తా కథనాన్ని చూసిన తరువాత లోవెట్ తనను తాను డ్రాయింగ్‌లో మహిళగా గుర్తించడం
"హారమును,గుర్తించడంలో,ఆమె,సహాయపడుతుందని,ఆశతో,లోవెట్,కెల్డిష్,మీదుగా,రోజ్,తెస్తుంది,,అక్కడ,ఆమె,టైటానిక్,ప్రయాణీకురాలిగా,తన,అనుభవాలను,వివరిస్తుంది","హారమును గుర్తించడంలో ఆమె సహాయపడుతుందని ఆశతో లోవెట్ కెల్డిష్ మీదుగా రోజ్ తెస్తుంది, అక్కడ ఆమె టైటానిక్ ప్రయాణీకురాలిగా తన అనుభవాలను వివరిస్తుంది"
"1912,లో,సౌతాంప్టన్,17,యూరోల్డ్,రోజ్,డెవిట్,బుకాటర్,ఆమె,సంపన్న,30,ఏళ్ళ,కాబోయే,భర్త,కాలెడాన్,కాల్,హాక్లీ,మరియు,రోజెస్,వితంతువు,తల్లి,రూత్,టైటానిక్",1912 లో సౌతాంప్టన్ 17 యూరోల్డ్ రోజ్ డెవిట్ బుకాటర్ ఆమె సంపన్న 30 ఏళ్ళ కాబోయే భర్త కాలెడాన్ కాల్ హాక్లీ మరియు రోజెస్ వితంతువు తల్లి రూత్ టైటానిక్
"CAL,తో,గులాబీల,వివాహం,కుటుంబం,యొక్క,ఆర్థిక,సమస్యలను,పరిష్కరిస్తుందని,మరియు,వారి,ఉన్నత,తరగతి,స్థితిని,నిర్వహిస్తుందని,రూత్,నొక్కిచెప్పాడు",CAL తో గులాబీల వివాహం కుటుంబం యొక్క ఆర్థిక సమస్యలను పరిష్కరిస్తుందని మరియు వారి ఉన్నత తరగతి స్థితిని నిర్వహిస్తుందని రూత్ నొక్కిచెప్పాడు
"ఆమె,ప్రేమలేని,నిశ్చితార్థంపై,గులాబీ,కలవరపడింది",ఆమె ప్రేమలేని నిశ్చితార్థంపై గులాబీ కలవరపడింది
"జాక్,డాసన్,ఒక,పేద,యువ,కళాకారుడు,ఆమెను,తిరిగి,డెక్,పైకి,చూస్తాడు,మరియు,వారు,స్నేహాన్ని,పెంచుకుంటారు",జాక్ డాసన్ ఒక పేద యువ కళాకారుడు ఆమెను తిరిగి డెక్ పైకి చూస్తాడు మరియు వారు స్నేహాన్ని పెంచుకుంటారు
"రోజ్,పట్ల,తనకు,భావాలు,ఉన్నాయని,జాక్,త్వరలో,అంగీకరించాడు",రోజ్ పట్ల తనకు భావాలు ఉన్నాయని జాక్ త్వరలో అంగీకరించాడు
"కాల్,మరియు,రూత్,ఆబ్జెక్ట్,రోజ్,జాక్స్,దృష్టిని,తిరస్కరించినప్పుడు,,కానీ,ఆమె,ప్రేమలో,పడిపోయిందని,తెలుసుకున్న,తర్వాత,అతని,వద్దకు,తిరిగి,వస్తుంది","కాల్ మరియు రూత్ ఆబ్జెక్ట్ రోజ్ జాక్స్ దృష్టిని తిరస్కరించినప్పుడు, కానీ ఆమె ప్రేమలో పడిపోయిందని తెలుసుకున్న తర్వాత అతని వద్దకు తిరిగి వస్తుంది"
"రోజ్,జాక్‌ను,తన,స్టేటర్‌రూమ్‌కు,తీసుకువస్తుంది,మరియు,అతను,తన,నగ్నాన్ని,సముద్రపు,గుండె,మాత్రమే,ధరిస్తాడు",రోజ్ జాక్‌ను తన స్టేటర్‌రూమ్‌కు తీసుకువస్తుంది మరియు అతను తన నగ్నాన్ని సముద్రపు గుండె మాత్రమే ధరిస్తాడు
"వారు,తరువాత,సేవకుడు,లవ్‌జోయ్‌ను,పిలుస్తారు,మరియు,కార్గో,హోల్డ్,లోపల,రెనాల్ట్,టౌన్,కారులో,సెక్స్,చేస్తారు",వారు తరువాత సేవకుడు లవ్‌జోయ్‌ను పిలుస్తారు మరియు కార్గో హోల్డ్ లోపల రెనాల్ట్ టౌన్ కారులో సెక్స్ చేస్తారు
"ఫార్వర్డ్,డెక్,మీద,వారు,ఐస్బర్గ్,తో,ఓడలు,ఘర్షణను,చూస్తారు,మరియు,దాని,అధికారులు,దాని,తీవ్రతను,చర్చిస్తూ,వింటూ",ఫార్వర్డ్ డెక్ మీద వారు ఐస్బర్గ్ తో ఓడలు ఘర్షణను చూస్తారు మరియు దాని అధికారులు దాని తీవ్రతను చర్చిస్తూ వింటూ
"కాల్,జాక్స్,స్కెచ్,మరియు,రోజ్,నుండి,అవమానకరమైన,గమనికను,నెక్లెస్‌తో,పాటు,తన,సురక్షితంగా,కనుగొంటాడు",కాల్ జాక్స్ స్కెచ్ మరియు రోజ్ నుండి అవమానకరమైన గమనికను నెక్లెస్‌తో పాటు తన సురక్షితంగా కనుగొంటాడు
"జాక్,మరియు,రోజ్,తిరిగి,వచ్చినప్పుడు,,ఘర్షణ,కాల్,గురించి,ఇతరులను,హెచ్చరించడానికి,లవ్జోయ్,దొంగతనం,కోసం,అతనిని,ఫ్రేమ్,చేయడానికి,జాక్స్,జేబులోకి,నెక్లెస్ను,జారండి","జాక్ మరియు రోజ్ తిరిగి వచ్చినప్పుడు, ఘర్షణ కాల్ గురించి ఇతరులను హెచ్చరించడానికి లవ్జోయ్ దొంగతనం కోసం అతనిని ఫ్రేమ్ చేయడానికి జాక్స్ జేబులోకి నెక్లెస్ను జారండి"
"జాక్,మారాటర్‌టారమ్స్,కార్యాలయంలో,పరిమితం,చేయబడింది",జాక్ మారాటర్‌టారమ్స్ కార్యాలయంలో పరిమితం చేయబడింది
"కాల్,తన,ఓవర్,కోట్,జేబులో,నెక్లెస్‌ను,ఉంచాడు",కాల్ తన ఓవర్ కోట్ జేబులో నెక్లెస్‌ను ఉంచాడు
"ఓడ,మునిగిపోవడంతో,సిబ్బంది,తరలింపు,కోసం,మహిళలు,మరియు,పిల్లలకు,ప్రాధాన్యత,ఇస్తారు",ఓడ మునిగిపోవడంతో సిబ్బంది తరలింపు కోసం మహిళలు మరియు పిల్లలకు ప్రాధాన్యత ఇస్తారు
"రోజ్,జాక్‌ను,కనుగొంటుంది,మరియు,విముక్తి,చేస్తుంది,మరియు,వారు,దానిని,తిరిగి,డెక్‌కు,చేస్తారు,,అక్కడ,కాల్,మరియు,జాక్,కోరిక,ఒక,లైఫ్‌బోట్,ఎక్కడానికి,రోజ్","రోజ్ జాక్‌ను కనుగొంటుంది మరియు విముక్తి చేస్తుంది మరియు వారు దానిని తిరిగి డెక్‌కు చేస్తారు, అక్కడ కాల్ మరియు జాక్ కోరిక ఒక లైఫ్‌బోట్ ఎక్కడానికి రోజ్"
"కాల్,తనను,తాను,కాపాడటానికి,ఉద్దేశించినది,,అతను,జాక్,ను,ఓడ,నుండి,సురక్షితంగా,పొందుతాడు,మరియు,రోజ్,చుట్టూ,తన,ఓవర్,కోట్ను,చుట్టాడు","కాల్ తనను తాను కాపాడటానికి ఉద్దేశించినది, అతను జాక్ ను ఓడ నుండి సురక్షితంగా పొందుతాడు మరియు రోజ్ చుట్టూ తన ఓవర్ కోట్ను చుట్టాడు"
"ఆమె,లైఫ్,బోట్,తగ్గించబడినందున,రోజ్,జాక్,ను,విడిచిపెట్టలేక,ఓడలోకి,తిరిగి,దూకుతుంది",ఆమె లైఫ్ బోట్ తగ్గించబడినందున రోజ్ జాక్ ను విడిచిపెట్టలేక ఓడలోకి తిరిగి దూకుతుంది
"కాల్,లవ్‌జోయిస్,పిస్టల్‌ను,పట్టుకుని,జాక్,మరియు,రోజ్,వెంబడిస్తాడు,కాని,వారు,తప్పించుకుంటారు",కాల్ లవ్‌జోయిస్ పిస్టల్‌ను పట్టుకుని జాక్ మరియు రోజ్ వెంబడిస్తాడు కాని వారు తప్పించుకుంటారు
"కాల్,అతను,గులాబీ,ఇచ్చిన,కోటులో,ఉన్న,హారము,ఇంకా,ఉందని,తెలుసుకుంటాడు",కాల్ అతను గులాబీ ఇచ్చిన కోటులో ఉన్న హారము ఇంకా ఉందని తెలుసుకుంటాడు
