English Word,Telugu Translation
DVD,డివిడి
Blu,బ్లూ
ray,రే
Ultra,అల్ట్రా
started,ప్రారంభమైంది
streaming,స్ట్రీమింగ్
January,జనవరి
launch,ప్రయోగం
Hotstar,హాట్‌స్టార్
India,భారతదేశం
available,అందుబాటులో ఉంది
multiple,బహుళ
languages,భాషలు
Reception,రిసెప్షన్
Box,బాక్స్
Canada,కెనడా
territories,భూభాగాలు
total,మొత్తం
global,ప్రపంచ
debut,తొలి
ninth,తొమ్మిదవ
largest,అతిపెద్ద
biggest,అతిపెద్ద
passed,ఉత్తీర్ణత
Deadline,గడువు
calculated,లెక్కించబడుతుంది
profit,లాభం
factoring,ఫ్యాక్టరింగ్
expenses,ఖర్చులు
revenues,ఆదాయాలు
Beginning,ప్రారంభం
marked,గుర్తించబడింది
anniversary,వార్షికోత్సవం
pre,ముందు
sales,అమ్మకాలు
seller,విక్రేత
Fandango,ఫండంగో
frame,ఫ్రేమ్
Avengers,ఎవెంజర్స్
Endgame,ఎండ్‌గేమ్
Atom,అణువు
Tickets,టికెట్లు
family,కుటుంబం
Three,మూడు
weeks,వారాలు
prior,ముందు
industry,పరిశ్రమ
tracking,ట్రాకింగ్
projected,అంచనా
gross,స్థూల
weekend,వారాంతం
By,ద్వారా
estimates,అంచనాలు
debuting,తొలి ప్రదర్శన
theaters,థియేటర్లు
beating,కొట్టుకోవడం
record,రికార్డ్
Thursday,గురువారం
previews,ప్రివ్యూలు
went,వెళ్లిన
reimaginings,రీమాగినింగ్స్
Harry,హ్యారీ
Potter,పాటర్
Deathly,డెత్లీ
Hallows,హాలోస్
Part,భాగం
Iron,ఇనుము
Man,మనిషి
higher,ఉన్నత
expected,expected హించినది
drop,డ్రాప్
still,ఇప్పటికీ
topped,అగ్రస్థానంలో ఉంది
dethroned,డెథ్రోన్
newcomer,కొత్తగా
Hobbs,హోబ్స్
Shaw,షా
third,మూడవది
crossing,క్రాసింగ్
process,ప్రక్రియ
North,ఉత్తరం
America,అమెరికా
Incredibles,ఇన్క్రెడిబుల్స్
At,వద్ద
region,ప్రాంతం
Other,ఇతర
days,రోజులు
world,ప్రపంచం
ended,ముగిసింది
besting,బెస్ట్
debuts,తొలి ప్రదర్శనలు
Over,ఓవర్
overseas,విదేశాలలో
included,చేర్చబడింది
sans,సాన్స్
countries,దేశాలు
Kingdom,రాజ్యం
Ireland,ఐర్లాండ్
Malta,మాల్టా
France,ఫ్రాన్స్
Mexico,మెక్సికో
Brazil,బ్రెజిల్
South,దక్షిణ
Korea,కొరియా
Australia,ఆస్ట్రేలియా
Russia,రష్యా
country,దేశం
Netherlands,నెదర్లాండ్స్
As,As
markets,మార్కెట్లు
Japan,జపాన్
Germany,జర్మనీ
Italy,ఇటలీ
surpassing,అధిగమించడం
previous,మునుపటి
held,జరిగింది
Titanic,టైటానిక్
Africa,ఆఫ్రికా
Black,నలుపు
Panther,పాంథర్
local,స్థానిక
currency,కరెన్సీ
terms,నిబంధనలు
dollar,డాలర్
regions,ప్రాంతాలు
Austria,ఆస్ట్రియా
Belgium,బెల్జియం
Luxembourg,లక్సెంబర్గ్
Bulgaria,బల్గేరియా
Algeria,అల్జీరియా
Monaco,మొనాకో
Morocco,మొరాకో
Tunisia,ట్యునీషియా
Lithuania,లిథువేనియా
Norway,నార్వే
Portugal,పోర్చుగల్
Angola,అంగోలా
Serbia,సెర్బియా
Montenegro,మాంటెనెగ్రో
Slovenia,స్లోవేనియా
Sweden,స్వీడన్
Switzerland,స్విట్జర్లాండ్
Spain,స్పెయిన్
foreign,విదేశీ
Poland,పోలాండ్
fourth,నాల్గవది
Europe,ఐరోపా
Middle,మధ్య
East,తూర్పు
surpass,అధిగమిస్తుంది
Critical,క్లిష్టమైనది
response,ప్రతిస్పందన
review,సమీక్ష
aggregator,అగ్రిగేటర్
Rotten,కుళ్ళిన
Tomatoes,టమోటాలు
approval,ఆమోదం
rating,రేటింగ్
average,సగటు
consensus,ఏకాభిప్రాయం
reads,చదువుతుంది
achievements,విజయాలు
retelling,రీటెల్లింగ్
lacks,లోపాలు
energy,శక్తి
heart,గుండె
beloved,ప్రియమైన
though,అయితే
enough,చాలు
rotten,కుళ్ళిన
Metacritic,మెటాక్రిటిక్
gave,ఇచ్చింది
weighted,బరువు
indicating,సూచిస్తుంది
Audiences,ప్రేక్షకులు
polled,పోల్
CinemaScore,సినిమాస్కోర్
grade,గ్రేడ్
scale,స్కేల్
PostTrak,పోస్ట్‌ట్రాక్
four,నాలుగు
five,ఐదు
Some,కొన్ని
praised,ప్రశంసలు
fidelity,విశ్వసనీయత
others,ఇతరులు
Kenneth,కెన్నెత్
Turan,తురాన్
Times,సార్లు
polished,పాలిష్
satisfying,సంతృప్తికరంగా
entertainment,వినోదం
Todd,టాడ్
McCarthy,మెక్‌కార్తీ
Reporter,రిపోర్టర్
considered,పరిగణించబడుతుంది
inferior,నాసిరకం
noting,గమనించడం
aesthetic,సౌందర్యం
caution,జాగ్రత్త
predictability,ability హాజనితత్వం
begin,ప్రారంభించండి
wear,ధరించడం
down,డౌన్
enterprise,ఎంటర్ప్రైజ్
half,సగం
Guardian,సంరక్షకుడు
Peter,పీటర్
Bradshaw,బ్రాడ్‌షా
found,కనుగొన్నారు
watchable,చూడదగినది
enjoyable,ఆనందించేది
But,కానీ
missed,తప్పిన
simplicity,సరళత
vividness,స్పష్టత
drawn,డ్రా
images,చిత్రాలు
Among,మధ్య
performances,ప్రదర్శనలు
particular,ప్రత్యేకించి
Club,క్లబ్
Dowd,డౌడ్
proclaiming,ప్రకటించడం
Ultimately,అంతిమంగా
slacker,స్లాకర్
sidekicks,సైడ్‌కిక్స్
make,చేయండి
impression,ముద్ర
ad,ప్రకటన
libbed,లిబ్బెడ్
banter,పరిహాసము
fresh,తాజాది
true,నిజం
perfect,పర్ఫెక్ట్
recipe,రెసిపీ
William,విలియం
Bibbiani,బిబ్బియాని
TheWrap,Thewrap
looks,కనిపిస్తోంది
incredibly,నమ్మశక్యం
literal,అచ్చమైన
digital,డిజిటల్
performers,ప్రదర్శనకారులు
body,శరీరం
movement,ఉద్యమం
tell,చెప్పండి
Sreeparna,శ్రీపర్ణ
Sengupta,సెన్‌గుప్తా
giving,ఇవ్వడం
For,కోసం
haven,స్వర్గంగా
seen,చూసింది
certainly,ఖచ్చితంగా
worth,విలువ
gorgeous,గార్జియస్
visuals,విజువల్స్
technical,సాంకేతిక
genius,మేధావి
Helen,హెలెన్
Hara,హరా
Empire,సామ్రాజ్యం
saying,చెప్పడం
thrown,విసిరివేయబడింది
star,స్టార్
studded,నిండిపోయింది
trading,ట్రేడింగ్
realism,వాస్తవికత
means,అంటే
lose,ఓడిపోతుంది
something,ఏదో
excellence,సమర్థత
Matt,మాట్
Zoller,జోలర్
Seitz,సీట్జ్
RogerEbert,రోజర్ ఎబెర్ట్
com,com
worst,చెత్త
say,చెప్పండి
perhaps,బహుశా
compliment,అభినందన
pay,చెల్లించండి
dazzling,మిరుమిట్లుగొలిపేది
if,ఉంటే
told,చెప్పారు
different,భిన్నమైనది
maybe,బహుశా
without,లేకుండా
necessarily,తప్పనిసరిగా
need,అవసరం
sing,పాడండి
Kevin,కెవిన్
Maher,మహేర్
praising,ప్రశంసలు
ending,ముగింపు
descend,అవరోహణ
ing,ing
sprawling,విస్తృతమైన
donnybrook,డానీబ్రూక్
dramatic,నాటకీయ
resonance,ప్రతిధ్వని
Edward,ఎడ్వర్డ్
Porter,కూలి
Sunday,ఆదివారం
expressiveness,వ్యక్తీకరణ
faces,ముఖాలు
writing,రచన
summarized,సంగ్రహించబడింది
Joyless,ఆనందం లేనిది
artless,ఆర్ట్‌లెస్
soulless,ఆత్మలేనిది
transforms,రూపాంతరం చెందుతుంది
striking,కొట్టడం
titles,శీర్షికలు
Mouse,మౌస్
House,ఇల్లు
vault,ఖజానా
Disneynature,డిస్నీనాచర్
bemoaned,దుర్భరమైనది
insistence,పట్టుదలతో
commenting,వ్యాఖ్యానించడం
We,మేము
watching,చూడటం
hollow,బోలు
bastardization,బాస్టర్డైజేషన్
blockbuster,బ్లాక్ బస్టర్
reliant,ఆధారపడటం
established,స్థాపించబడింది
affection,ఆప్యాయత
predecessor,పూర్వీకుడు
strangely,విచిత్రమేమిటంటే
determined,నిర్ణయించబడింది
jettison,జెట్టిసన్
Scott,స్కాట్
Mendelson,మెండెల్సన్
Forbes,ఫోర్బ్స్
condemned,ఖండించారు
crushing,క్రషింగ్
disappointment,నిరాశ
almost,దాదాపు
redo,పునరావృతం చేయండి
undercuts,అండర్కట్స్
melodrama,మెలోడ్రామా
downplaying,తక్కువ ఆట
emotions,భావోద్వేగాలు
David,డేవిడ్
Ehrlich,Ehrlich
IndieWire,ఇండీవైర్
panned,నిందించబడింది
Unfolding,ముగుస్తుంది
longest,పొడవైనది
least,కనీసం
convincing,ఆమోదయోగ్యమైన
deepfake,డీప్‌ఫేక్
meant,అర్థం
represent,ప్రాతినిధ్యం వహిస్తుంది
next,తరువాత
Instead,బదులుగా
chimera,చిమెరా
comes,వస్తుంది
glorified,మహిమపరచబడింది
demo,డెమో
greedy,అత్యాశకరమైన
conglomerate,సమ్మేళనం
creatively,సృజనాత్మకంగా
bankrupt,దివాళా
self,స్వీయ
portrait,పోర్ట్రెయిట్
eating,ఆహారపు
tail,తోక
Jonathan,జోనాథన్
Broxton,బ్రోక్స్టన్
greatest,గొప్పది
somehow,ఏదో ఒకవిధంగా
already,ఇప్పటికే
superb,అద్భుతమైన
spectacular,అద్భుతమైన
enhanced,మెరుగుపరచబడింది
orchestrations,ఆర్కెస్ట్రేషన్
larger,పెద్దది
instrumental,వాయిద్య
ensemble,సమిష్టి
gives,ఇస్తుంది
weight,బరువు
power,శక్తి
powerful,శక్తివంతమైన
weighty,బరువైన
actual,అసలు
composition,కూర్పు
itself,స్వయంగా
recurring,పునరావృత
thematic,థిమాటిక్
ideas,ఆలోచనలు
intelligent,తెలివైన
application,అప్లికేషన్
highlighted,హైలైట్ చేయబడింది
arrangements,ఏర్పాట్లు
instruments,పరికరాలు
pick,పిక్
specific,నిర్దిష్ట
deeply,లోతుగా
impressive,ఆకట్టుకునేది
disowned,నిరాకరించబడింది
me,నేను
believe,నమ్మండి
messed,గజిబిజి
music,సంగీతం
current,ప్రస్తుత
didn,చేయలేదు
impact,ప్రభావం
magic,మేజిక్
joy,ఆనందం
lost,కోల్పోయిన
Accolades,ప్రశంసలు
Prequel,ప్రీక్వెల్
development,అభివృద్ధి
formative,నిర్మాణాత్మక
years,సంవత్సరాలు
sequel,సీక్వెల్
centering,సెంటరింగ్
origins,ఆరిజిన్స్
events,సంఘటనలు
similar,ఇలాంటివి
Godfather,గాడ్ ఫాదర్
screenwriter,స్క్రీన్ రైటర్
reportedly,నివేదిక
finished,పూర్తయింది
draft,ముసాయిదా
Aaron,ఆరోన్
Pierre,పియరీ
Kelvin,కెల్విన్
Harrison,హారిసన్
Jr,జూనియర్
video,వీడియో
Expo,ఎక్స్‌పో
titular,నామమాత్ర
origin,మూలం
reprise,పున reరకుండా
scheduled,షెడ్యూల్ చేయబడింది
References,ప్రస్తావనలు
Notes,గమనికలు
Citations,అనులేఖనాలు
External,బాహ్య
links,లింకులు
Official,అధికారిక
IMDb,Imdb
AllMovie,ఆల్మోవీ
Titanic,టైటానిక్
is,ఉంది
American,అమెరికన్
epic,ఇతిహాసం
romantic,శృంగార
disaster,విపత్తు
film,చిత్రం
directed,దర్శకత్వం వహించారు
written,వ్రాయబడింది
co,కో
produced,ఉత్పత్తి
and,మరియు
edited,సవరించబడింది
by,ద్వారా
James,జేమ్స్
Cameron,కామెరాన్
Incorporating,కలుపుతోంది
both,రెండు
historical,చారిత్రక
fictionalized,కల్పిత
aspects,అంశాలను
it,అది
based,ఆధారిత
on,పై
accounts,ఖాతాలు
of,యొక్క
the,ది
sinking,కుంగిపోయే
RMS,Rms
in,ఇన్
Leonardo,లియోనార్డో
DiCaprio,డికాప్రియో
Kate,కేట్
Winslet,విన్స్లెట్
star,స్టార్
as,as
members,సభ్యులు
different,భిన్నమైనది
social,సామాజిక
classes,తరగతులు
who,WHO
fall,పతనం
love,ప్రేమ
during,సమయంలో
ship,ఓడ
maiden,కన్య
voyage,సముద్రయానం
The,ది
also,అలాగే
features,లక్షణాలు
an,ఒక
ensemble,సమిష్టి
cast,తారాగణం
Billy,బిల్లీ
Zane,జేన్
Kathy,కాథీ
Bates,బేట్స్
Frances,ఫ్రాన్సిస్
Fisher,ఫిషర్
Bernard,బెర్నార్డ్
Hill,కొండ
Jonathan,జోనాథన్
Hyde,హైడ్
Danny,డానీ
Nucci,Ncci
David,డేవిడ్
Warner,వార్నర్
Bill,బిల్లు
Paxton,పాక్స్టన్
inspiration,ప్రేరణ
for,కోసం
came,వచ్చింది
from,నుండి
his,తన
fascination,మోహం
with,తో
shipwrecks,ఓడల నాశనాలు
He,అతను
felt,అనుభూతి
story,కథ
interspersed,విభజించబడింది
human,మానవుడు
loss,నష్టం
would,చేస్తుంది
be,ఉండండి
essential,అవసరం
to,to
convey,తెలియజేయండి
emotional,భావోద్వేగ
impact,ప్రభావం
Production,ఉత్పత్తి
began,ప్రారంభమైంది
September,సెప్టెంబర్
when,ఎప్పుడు
shot,షాట్
footage,ఫుటేజ్
wreck,శిధిలాలు
modern,ఆధునిక
scenes,దృశ్యాలు
research,పరిశోధన
vessel,నౌక
were,ఉన్నారు
board,బోర్డు
Akademik,అకాడెమిక్
Mstislav,Mstislav
Keldysh,కెల్డిష్
which,ఇది
had,కలిగి
used,ఉపయోగించబడిన
base,బేస్
filming,చిత్రీకరణ
Scale,స్కేల్
models,నమూనాలు
computer,కంప్యూటర్
generated,ఉత్పత్తి
imagery,ఊహాచిత్రాలు
reconstruction,పునర్నిర్మాణం
built,నిర్మించబడింది
at,వద్ద
Baja,బాజా
Studios,స్టూడియోలు
recreate,పున reat సృష్టి
was,ఉంది
financed,ఫైనాన్స్
Paramount,పారామౌంట్
Pictures,చిత్రాలు
th,వ
Century,శతాబ్దం
Fox,ఫాక్స్
handled,నిర్వహించబడింది
distribution,పంపిణీ
United,యునైటెడ్
States,రాష్ట్రాలు
Canada,కెనడా
while,అయితే
released,విడుదల
internationally,అంతర్జాతీయంగా
most,అత్యంత
expensive,ఖరీదైనది
ever,ఎప్పుడూ
made,తయారు చేయబడింది
time,సమయం
production,ఉత్పత్తి
budget,బడ్జెట్
million,మిలియన్
Filming,చిత్రీకరణ
took,టేక్
place,స్థలం
July,జూలై
March,మార్చి
December,డిసెంబర్
It,అది
praised,ప్రశంసలు
its,దాని
visual,దృశ్య
effects,ప్రభావాలు
performances,ప్రదర్శనలు
particularly,ముఖ్యంగా
those,అవి
Gloria,గ్లోరియా
Stuart,స్టువర్ట్
values,విలువలు
direction,దిశ
score,స్కోరు
cinematography,సినిమాటోగ్రఫీ
depth,లోతు
Among,మధ్య
other,ఇతర
awards,అవార్డులు
nominated,నామినేట్
Academy,అకాడమీ
Awards,అవార్డులు
won,గెలిచింది
including,సహా
Best,ఉత్తమమైనది
Picture,చిత్రం
Director,దర్శకుడు
tying,టైయింగ్
Ben,బెన్
Hur,హర్
With,తో
initial,ప్రారంభ
worldwide,ప్రపంచవ్యాప్తంగా
gross,స్థూల
over,ఓవర్
billion,బిలియన్
first,ప్రధమ
reach,చేరుకోండి
dollar,డాలర్
mark,మార్క్
highest,అత్యధికం
grossing,స్థూలంగా
all,అన్నీ
until,వరకు
next,తరువాత
Avatar,అవతార్
surpassed,అధిగమించింది
Income,ఆదాయం
theatrical,థియేట్రికల్
release,విడుదల
retail,రిటైల్
video,వీడియో
soundtrack,సౌండ్‌ట్రాక్
sales,అమ్మకాలు
US,మాకు
broadcast,ప్రసార
rights,హక్కులు
exceeded,మించిపోయింది
number,సంఖ్య
re,Re
releases,విడుదలలు
have,కలిగి
pushed,నెట్టబడింది
total,మొత్తం
making,తయారీ
second,రెండవ
more,మరింత
than,కంటే
after,తరువాత
In,ఇన్
Library,గ్రంధాలయం
Congress,సమావేశం
selected,ఎంచుకున్నారు
preservation,సంరక్షణ
National,జాతీయ
Film,చిత్రం
Registry,రిజిస్ట్రీ
being,ఉండటం
culturally,సాంస్కృతికంగా
historically,చారిత్రాత్మకంగా
or,లేదా
aesthetically,సౌందర్యంగా
significant,ముఖ్యమైనది
Plot,ప్లాట్
aboard,మీదికి
Brock,బ్రాక్
Lovett,లవెట్
team,జట్టు
search,వెతకండి
They,వాళ్ళు
recover,కోలుకోండి
safe,సురక్షితం
they,వాళ్ళు
hope,ఆశిస్తున్నాము
contains,కలిగి ఉంటుంది
necklace,నెక్లెస్
large,పెద్దది
diamond,డైమండ్
known,తెలిసిన
Heart,గుండె
Ocean,సముద్ర
Instead,బదులుగా
find,కనుగొనండి
only,మాత్రమే
drawing,డ్రాయింగ్
young,యంగ్
naked,నగ్నంగా
woman,స్త్రీ
wearing,ధరించడం
sketch,స్కెచ్
dated,నాటిది
April,ఏప్రిల్
same,అదే
day,రోజు
struck,కొట్టారు
iceberg,మంచుకొండ
that,ఆ
caused,కారణం
sink,సింక్
After,తరువాత
viewing,వీక్షణ
television,టెలివిజన్
news,వార్తలు
about,గురించి
discovery,ఆవిష్కరణ
centenarian,శతాబ్ది
Rose,గులాబీ
Dawson,డాసన్
Calvert,కాల్వెర్ట్
contacts,పరిచయాలు
identifying,గుర్తించడం
herself,ఆమె
Hoping,ఆశతో
she,ఆమె
can,కెన్
help,సహాయం
locate,కనుగొనండి
brings,తెస్తుంది
where,ఎక్కడ
recounts,రీకౌంట్లు
her,ఆమె
experiences,అనుభవాలు
passenger,ప్రయాణీకుడు
Southampton,సౌతాంప్టన్
year,సంవత్సరం
old,పాత
DeWitt,డెవిట్
Bukater,బుకాటర్
wealthy,సంపన్నులు
fianc,కాబోయే భర్త
Caledon,కాలెడాన్
Cal,కాల్
Hockley,హాక్లీ
widowed,వితంతువు
mother,తల్లి
Ruth,రూత్
emphasizes,నొక్కి చెబుతుంది
marriage,వివాహం
will,విల్
resolve,పరిష్కరించండి
family,కుటుంబం
financial,ఆర్థిక
problems,సమస్యలు
maintain,నిర్వహించండి
their,వారి
upper,ఎగువ
class,తరగతి
status,స్థితి
distraught,కలత
loveless,లవ్‌లెస్
engagement,నిశ్చితార్థం
climbs,ఎక్కారు
stern,స్టెర్న్
railing,రైలింగ్
intending,ఉద్దేశం
commit,కమిట్
suicide,ఆత్మహత్య
Jack,జాక్
poor,పేద
artist,కళాకారుడు
coaxes,కోక్సెస్
back,తిరిగి
onto,పైకి
deck,డెక్
develop,అభివృద్ధి
friendship,స్నేహం
soon,త్వరలో
admits,అంగీకరించాడు
he,అతను
has,కలిగి
feelings,భావాలు
When,ఎప్పుడు
object,వస్తువు
rejects,తిరస్కరిస్తుంది
attentions,శ్రద్ధ
but,కానీ
returns,తిరిగి వస్తుంది
him,ఆయన
realizing,గ్రహించడం
fallen,పడిపోతుంది
state,రాష్ట్రం
room,గది
requests,అభ్యర్థనలు
draw,డ్రా
nude,న్యూడ్
later,తరువాత
evade,తప్పించుకుంటుంది
servant,సేవకుడు
Lovejoy,లవ్జోయ్
sex,సెక్స్
Renault,రెనాల్ట్
Towncar,టౌన్కార్
inside,లోపల
cargo,సరుకు
hold,పట్టుకోండి
On,పై
forward,ముందుకు
witness,సాక్షి
collision,ఘర్షణ
overhear,విన్నది
officers,అధికారులు
discussing,చర్చించడం
seriousness,గంభీరత
discovers,కనుగొంటుంది
insulting,అవమానకరమైనది
note,గమనిక
along,వెంట
return,తిరిగి
warn,హెచ్చరించండి
others,ఇతరులు
slip,స్లిప్
into,లోపలికి
pocket,జేబులో
frame,ఫ్రేమ్
theft,దొంగతనం
confined,పరిమితమై
master,మాస్టర్
arms,ఆయుధాలు
office,కార్యాలయం
puts,పుట్స్
own,సొంత
overcoat,ఓవర్ కోట్
crew,సిబ్బంది
prioritize,ప్రాధాన్యత ఇవ్వండి
women,మహిళలు
children,పిల్లలు
evacuation,తరలింపు
finds,కనుగొంటుంది
frees,ఫ్రీస్
make,చేయండి
urge,కోరిక
lifeboat,లైఫ్ బోట్
Intending,ఉద్దేశం
save,సేవ్
himself,స్వయంగా
lies,అబద్ధాలు
get,పొందండి
safely,సురక్షితంగా
off,ఆఫ్
wraps,మూటలు
around,చుట్టూ
As,As
lowered,తగ్గించబడింది
unable,సాధ్యం కాదు
abandon,వదలివేయండి
jumps,జంప్స్
grabs,పట్టుకోండి
pistol,పిస్టల్
chases,వెంటాడారు
escape,ఎస్కేప్
realizes,గ్రహించాడు
still,ఇప్పటికీ
coat,కోటు
gave,ఇచ్చింది
poses,భంగిమలు
lost,కోల్పోయిన
child,పిల్లవాడు
father,తండ్రి
rising,పెరుగుతున్న
flooded,వరదలు
bow,విల్లు
sinks,సింక్స్
two,రెండు
desperately,నిర్విరామంగా
cling,వేళ్ళాడతాయి
rail,రైలు
upended,పైకి
breaks,విరామాలు
half,సగం
section,విభాగం
slams,స్లామ్స్
ocean,సముద్ర
upends,అప్లెండ్స్
again,మళ్ళీ
freezing,ఘనీభవన
water,నీటి
helps,సహాయపడుతుంది
wood,కలప
transom,ట్రాన్సమ్
panel,ప్యానెల్
among,మధ్య
debris,శిధిలాలు
buoyant,తేలిక
enough,చాలు
one,ఒకటి
person,వ్యక్తి
makes,తయారీలను
promise,వాగ్దానం
survive,జీవించి
dies,చనిపోతుంది
cold,చలి
shock,షాక్
six,ఆరు
people,ప్రజలు
saved,సేవ్ చేయబడింది
returning,తిరిగి వస్తోంది
Carpathia,కార్పాథియా
rescues,రెస్క్యూ
survivors,ప్రాణాలు
avoids,నివారిస్తుంది
hiding,దాచడం
steerage,స్టీరేజ్
passengers,ప్రయాణీకులు
giving,ఇవ్వడం
name,పేరు
Still,ఇప్పటికీ
tucked,ఉంచి
present,ప్రస్తుతం
says,చెప్పారు
heard,విన్నది
committed,కట్టుబడి
losing,ఓడిపోయిన
fortune,అదృష్టం
Wall,గోడ
Street,వీధి
crash,క్రాష్
abandons,వదలివేయండి
hearing,వినికిడి
Alone,ఒంటరిగా
takes,తీసుకుంటాడు
been,ఉంది
possession,స్వాధీనం
drops,చుక్కలు
sea,సముద్రం
site,సైట్
While,అయితే
seemingly,అనిపించింది
asleep,నిద్ర
bed,మం చం
photos,ఫోటోలు
dresser,డ్రస్సర్
depict,వర్గీకరించండి
life,జీవితం
freedom,స్వేచ్ఛ
adventure,సాహసం
inspired,ప్రేరణ
reunites,తిరిగి కలుస్తుంది
Grand,గ్రాండ్
Staircase,మెట్ల
applauded,ప్రశంసించబడింది
died,మరణించారు
night,రాత్రి
Cast,తారాగణం
Fictional,కల్పిత
characters,అక్షరాలు
said,అన్నారు
needed,అవసరం
feel,అనుభూతి
really,నిజంగా
relive,పునరుద్ధరించండి
liveliness,జీవనం
take,తీసుకోవడం
energy,శక్తి
give,ఇవ్వండి
able,సామర్థ్యం
heart,గుండె
soar,ఎగురుతుంది
portrayed,చిత్రీకరించబడింది
itinerant,ప్రయాణ
orphan,అనాధ
Chippewa,చిప్పేవా
Falls,జలపాతం
Wisconsin,విస్కాన్సిన్
travelled,ప్రయాణించారు
world,ప్రపంచం
Paris,పారిస్
wins,గెలుస్తుంది
third,మూడవది
tickets,టికెట్లు
poker,పేకాట
game,ఆట
travels,ట్రావెల్స్
friend,స్నేహితుడు
Fabrizio,ఫాబ్రిజియో
attracted,ఆకర్షించబడింది
sight,దృష్టి
Her,ఆమె
invitation,ఆహ్వానం
dine,భోజనం
them,వాటిని
evening,సాయంత్రం
enables,ఎనేబుల్స్
mix,కలపండి
original,అసలైన
choice,ఎంపిక
role,పాత్ర
River,నది
Phoenix,ఫీనిక్స్
however,అయితే
Though,అయితే
established,స్థాపించబడింది
actors,నటులు
like,ఇష్టం
Matthew,మాథ్యూ
McConaughey,మెక్కోనాఘే
Chris,క్రిస్
Donnell,డోన్నెల్
Crudup,క్రూడప్
Stephen,స్టీఫెన్
Dorff,డోర్ఫ్
considered,పరిగణించబడుతుంది
too,చాలా
part,భాగం
Tom,టామ్
Cruise,క్రూయిజ్
interested,ఆసక్తి
asking,అడుగుతోంది
price,ధర
high,అధిక
Jared,జారెడ్
Leto,లెటో
refused,నిరాకరించారు
audition,ఆడిషన్
Jeremy,జెరెమీ
Sisto,సిస్టో
did,చేసింది
series,సిరీస్
screen,స్క్రీన్
tests,పరీక్షలు
three,మూడు
actresses,నటీమణులు
vying,పోటీ
years,సంవత్సరాలు
brought,తీసుకువచ్చారు
attention,శ్రద్ధ
casting,కాస్టింగ్
director,దర్శకుడు
Mali,మాలి
Finn,ఫిన్
Initially,ప్రారంభంలో
not,కాదు
want,కావాలి
read,చదవండి
scene,దృశ్యం
once,ఒకసారి
then,అప్పుడు
started,ప్రారంభమైంది
goofing,గూఫింగ్
could,చేయగలిగింది
never,ఎప్పుడూ
focus,దృష్టి
But,కానీ
split,స్ప్లిట్
shaft,షాఫ్ట్
light,కాంతి
down,డౌన్
heavens,స్వర్గం
lit,వెలిగించండి
up,అప్
forest,అటవీ
strongly,గట్టిగా
believed,నమ్మకం
acting,నటన
ability,సామర్థ్యం
told,చెప్పారు
Look,చూడండి
going,వెళ్తున్నారు
this,ఇది
guy,వ్యక్తి
brooding,బ్రూడింగ్
neurotic,న్యూరోటిక్
tic,tic
limp,లింప్
things,విషయాలు
you,మీరు
envisioned,ined హించబడింది
character,పాత్ర
played,ఆడాడు
Stewart,స్టీవర్ట్
Gregory,గ్రెగొరీ
Peck,పెక్
Although,అయినప్పటికీ
fictional,కల్పిత
Fairview,ఫెయిర్‌వ్యూ
Cemetery,స్మశానవాటిక
Halifax,హాలిఫాక్స్
Nova,నోవా
Scotia,స్కోటియా
victims,బాధితులు
are,ఉన్నాయి
buried,ఖననం
there,అక్కడ
grave,సమాధి
labeled,లేబుల్ చేయబడింది
producers,నిర్మాతలు
know,తెలుసు
real,నిజమైన
thing,విషయం
look,చూడండి
quality,నాణ్యత
face,ముఖం
eyes,కళ్ళు
just,కేవలం
knew,తెలుసు
ready,సిద్ధంగా ఉంది
go,వెళ్ళండి
distance,దూరం
girl,అమ్మాయి
Philadelphia,ఫిలడెల్ఫియా
forced,బలవంతంగా
so,కాబట్టి
death,మరణం
left,ఎడమ
debt,అప్పు
ridden,రిడ్డెన్
boards,బోర్డులు
meets,కలుస్తుంది
She,ఆమె
got,వచ్చింది
lot,చాలా
very,చాలా
open,ఓపెన్
And,మరియు
wants,కోరికలు
explore,అన్వేషించండి
feels,అనిపిస్తుంది
happen,జరుగుతుంది
Gwyneth,గ్వినేత్
Paltrow,పాల్ట్రో
Winona,వినోనా
Ryder,రైడర్
Claire,క్లైర్
Danes,డేన్స్
previously,గతంలో
worked,పనిచేశారు
Romeo,రోమియో
Juliet,జూలియట్
previous,మునుపటి
Gabrielle,గాబ్రియెల్
Anwar,అన్వర్
Reese,రీస్
Witherspoon,విథర్స్పూన్
turned,తిరగబడింది
campaigned,ప్రచారం
heavily,భారీగా
sent,పంపబడింది
daily,రోజువారీ
notes,గమనికలు
England,ఇంగ్లాండ్
led,LED
invite,ఆహ్వానించండి
Hollywood,హాలీవుడ్
auditions,ఆడిషన్స్
originally,వాస్తవానికి
looking,చూస్తోంది
described,వివరించబడింది
Audrey,ఆడ్రీ
Hepburn,హెప్బర్న్
type,రకం
initially,ప్రారంభంలో
uncertain,అనిశ్చితంగా
even,కూడా
test,పరీక్ష
impressed,ఆకట్టుకుంది
tested,పరీక్షించబడింది
thoroughly,పూర్తిగా
whispered,గుసగుసగా
great,గొప్పది
Even,కూడా
if,ఉంటే
don,డాన్
pick,పిక్
me,నేను
single,సింగిల్
rose,గులాబీ
card,కార్డు
signed,సంతకం
From,నుండి
Your,మీ
lobbied,లాబీయిడ్
